label,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_impact
1,10.681695100,3.60500,3.0780e+02,2.30,897.0,152.75,21.90,5553.00,4.221,1.2500,0.6460
1,3.578780566,2.91089,1.1382e+04,10.43,1145.0,406.60,1838.40,5524.00,4.421,0.9940,0.0790
1,12.412163470,3.73900,6.1130e+02,2.58,787.0,90.65,25.60,5561.00,4.362,1.0600,0.0210
1,20.860212290,5.19370,1.9105e+03,5.50,781.0,87.76,117.00,6035.00,4.220,1.2570,0.0660
1,87.647606800,8.87100,1.0096e+03,4.00,484.0,12.94,37.50,6035.00,4.220,1.2570,0.1470
1,0.893040969,1.09810,7.4170e+02,1.24,893.0,151.14,87.80,3582.00,4.807,0.4580,0.0090
1,20.834267310,4.04540,9.8840e+02,2.74,595.0,29.62,45.10,5537.00,4.549,0.8800,0.2560
1,1.045621950,1.89550,2.1300e+02,1.45,1710.0,2031.84,25.30,5344.00,4.365,1.0130,0.0370
1,8.145159810,5.07300,4.4680e+02,3.43,1050.0,287.91,32.20,5896.00,4.197,1.2400,0.9650
1,4.244390490,3.28200,1.7400e+02,2.07,1305.0,686.99,15.10,5896.00,4.197,1.2400,0.9490
0,9.880479780,2.78458,1.8541e+04,23.60,860.0,129.45,534.50,6113.00,4.512,0.9170,1.0200
0,0.525154153,2.14410,7.4750e+02,23.61,2073.0,4391.51,116.10,5582.00,4.497,0.8460,1.2260
1,224.778935500,11.18990,3.4875e+03,7.67,333.0,2.92,235.70,5873.00,4.293,1.2350,0.6520
0,0.890110752,0.87740,3.2150e+02,1.25,1372.0,838.42,19.60,4768.00,4.628,0.7110,0.2160
1,15.986893200,4.15800,1.7850e+02,1.62,803.0,98.51,10.90,6049.00,4.353,1.1760,0.5330
0,2.037440623,3.44200,1.1860e+02,1.19,1572.0,1448.05,27.00,6253.00,4.415,1.0150,0.7150
1,31.592580900,13.56600,1.4510e+02,1.78,688.0,53.09,25.50,5676.00,4.100,1.4870,0.2830
1,2.785821236,3.55990,6.8900e+01,1.69,1784.0,2388.98,53.60,6202.00,4.026,1.7330,0.8930
0,3.411758679,3.15800,5.7060e+02,14.71,684.0,51.85,35.60,3995.00,4.710,0.5610,1.2130
1,1.475323222,2.31550,1.5490e+02,5.88,2740.0,13331.51,27.20,4941.00,3.317,4.8850,0.1360
1,8.734885200,4.49000,2.7070e+02,1.59,890.0,148.62,24.80,5982.00,4.493,0.9600,0.3140
0,3.305577989,2.59030,1.7971e+04,25.89,1027.0,263.55,39.60,5534.00,4.629,0.7070,1.1450
0,0.651784374,2.01410,2.7793e+03,33.65,2090.0,4500.59,195.20,5555.00,4.375,1.0610,1.2240
